year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em5e5224824,ca,3.9,36723,silver,black,"fleet link services,inc",18100,16200,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
2014,Ford,Mustang,GT Premium,Convertible,manual,1zvbp8ffxe5245913,fl,4.9,3940,white,black,"ford motor credit company",29200,34300,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em2e5328395,ca,1,13303,white,—,"enterprise vehicle exchange / tra / rental / tulsa",18750,12100,Wed Jan 14 2015 07:05:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em4e5322761,tx,3.6,14645,red,gray,"avis budget group",19050,18600,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8am0e5304697,ga,4.9,26001,white,black,"ars/enterprise",18250,18300,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em2e5240415,fl,2.8,30912,—,black,"avis budget group",16400,18000,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em0e5208546,az,4.3,62569,gray,black,"dtg operations inc",12950,13300,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em7e5219995,nv,3.7,65243,red,black,"dtg operations inc",12250,12600,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f78e1158075,fl,4.9,10160,—,tan,"ford motor credit company",21000,21100,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f83eg165312,ny,4.6,16866,black,black,"ford motor credit company",20500,20300,Tue Jan 06 2015 01:50:00 GMT-0800 (PST)
2014,GMC,Terrain,SLE-1,SUV,automatic,2gkalmek8e6159428,tn,4.9,8110,silver,black,"gm financial",20300,21000,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
2014,Ford,Taurus,SE,Sedan,automatic,1fahp2d86eg115765,tn,2.9,36561,black,tan,"enterprise fleet management exchange, inc.",14100,14000,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2014,GMC,Acadia,SLT-1,SUV,automatic,1gkkvrkd0ej334176,mi,3.9,22699,white,black,"gm remarketing",29500,29300,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
2014,GMC,Terrain,SLT-2,SUV,automatic,2gkflte38e6300555,fl,2,12684,silver,black,"enterprise vehicle exchange / tra / rental / tulsa",24400,17300,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
2014,Ford,Taurus,SE,Sedan,automatic,1fahp2d87eg115774,tn,4.8,29936,black,tan,"enterprise fleet management exchange, inc.",14450,15100,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
2014,Ford,Taurus,SEL,Sedan,automatic,1fahp2e85eg178922,co,4.3,12122,—,beige,"ford motor credit company",19950,18900,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f77e1158861,fl,5,10459,—,gray,"ford motor credit company",20900,20500,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,,1fahp2f84eg176089,pa,2.5,17538,red,tan,"avis budget group",20300,16800,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f7xe1158028,fl,4.9,10970,—,gray,"ford motor credit company",20800,20500,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f8xeg165176,ga,3.7,34569,gray,gray,"avis budget group",18100,17100,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f82eg179461,ny,4.9,15675,red,beige,"ford motor credit company",20600,21000,Tue Jan 06 2015 01:50:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f7xe1158854,fl,4.2,10144,—,gray,"ford motor credit company",20400,19200,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f79e1158022,fl,4.4,6109,—,beige,"avis budget group",21800,21600,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,GMC,Sierra 1500,Base,Double Cab,automatic,1gtr1tehxez228126,az,4.2,25106,gray,gray,"gm financial",19150,19900,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f88eg146416,ga,4.9,26608,white,gray,"avis budget group",19150,20200,Mon Jan 12 2015 02:00:00 GMT-0800 (PST)
