year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Chevrolet,Impala,LS Fleet,sedan,automatic,2g1wf5e38d1205416,nj,2.8,49157,red,gray,"lease plan usa",9200,8200,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2013,Chevrolet,Impala,LT Fleet,sedan,automatic,2g1wg5e38d1217224,ms,2.4,55912,silver,black,"the hertz corporation",9100,9200,Thu Jun 11 2015 03:30:00 GMT-0700 (PDT)
2006,Ford,F-250 Super Duty,XLT,Crew Cab,automatic,1ftsw21p26ed05641,mo,3.5,96837,—,gray,"ed napleton honda",15500,16000,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
2006,Ford,Explorer,Eddie Bauer,SUV,automatic,1fmeu748x6ua42742,ma,2.8,215811,white,tan,"international motor group annex",2900,3250,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Ford,F-150,FX4,SuperCab,automatic,1ftpx04516kb72583,fl,2.8,167163,silver,black,"nimnicht gmc",7950,7600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Ford,Expedition,XLT,SUV,,1fmpu16536la31953,oh,2.2,100522,red,gray,"tc's used cars llc",5725,7700,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Honda,Civic,LX,Coupe,automatic,2hgfg12676h565512,ma,2.2,133130,white,tan,"clay nissan",4600,3800,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2006,HUMMER,H2 SUT,Base,Crew Cab,automatic,5grgn22u26h111007,tn,4.4,136701,gray,black,"michael's motor co.",16850,17100,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT)
2006,Honda,Accord,EX,Sedan,automatic,1hgcm56806a081159,ma,2.2,114074,blue,gray,"metro honda",6600,3800,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2006,HUMMER,H3,Base,SUV,automatic,5gtdn136968116583,md,3.8,90245,white,black,"shannon auto sales",11150,11700,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Honda,Odyssey,LX,Minivan,automatic,5fnrl38286b089512,ma,1.9,109940,blue,tan,"metro kia of raynham",5200,5100,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2014,Chevrolet,Traverse,LT,SUV,automatic,1gnkvgkd5ej254945,mo,4.9,8917,white,black,"gmt auto sales inc",28600,29000,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
2014,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb4en192147,nc,4.2,14793,silver,beige,"t & k enterprises of mt airy inc",13200,13600,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2014,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb1en167657,mo,4.1,35848,black,black,"avis corporation",11850,12000,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
2006,Hyundai,Sonata,GLS,Sedan,automatic,5npeu46c96h117946,fl,2,172783,silver,gray,"d&a fine cars",2150,2300,Tue Mar 10 2015 02:20:00 GMT-0700 (PDT)
2006,Kia,Rio,LX,Sedan,automatic,knade123166146541,md,2.2,158389,white,gray,"waldorf chrysler jeep",2100,600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Kia,Spectra,Spectra5,Wagon,automatic,knafe161365311965,mo,4,75573,silver,gray,"weber granite city chevrolet company",3275,4100,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
2006,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j8gr48k06c309999,pa,2.8,128461,black,gray,"carl h and ruth auto sales inc",5875,5600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
